as_of_date,competition,club,player,team_matches_last_3,appearances_last_3,appearance_pct_last_3,starts_last_3,start_pct_of_appearances_last_3,minutes_last_3,sot_last_3,avg_sot_per_team_match_last_3,avg_sot_per_appearance_last_3,median_sot_per_team_match_last_3,median_sot_per_appearance_last_3,std_sot_per_team_match_last_3,std_sot_per_appearance_last_3,hit_1plus_pct_team_match_last_3,hit_1plus_pct_appearance_last_3,hit_1plus_pct_last_3,hit_2plus_pct_team_match_last_3,hit_2plus_pct_appearance_last_3,hit_2plus_pct_last_3,hit_3plus_pct_team_match_last_3,hit_3plus_pct_appearance_last_3,hit_3plus_pct_last_3,sot_per_90_last_3,avg_sot_home_per_appearance_last_3,avg_sot_away_per_appearance_last_3,trend_sot_per_team_match_last_3,trend_sot_per_appearance_last_3,team_matches_last_5,appearances_last_5,appearance_pct_last_5,starts_last_5,start_pct_of_appearances_last_5,minutes_last_5,sot_last_5,avg_sot_per_team_match_last_5,avg_sot_per_appearance_last_5,median_sot_per_team_match_last_5,median_sot_per_appearance_last_5,std_sot_per_team_match_last_5,std_sot_per_appearance_last_5,hit_1plus_pct_team_match_last_5,hit_1plus_pct_appearance_last_5,hit_1plus_pct_last_5,hit_2plus_pct_team_match_last_5,hit_2plus_pct_appearance_last_5,hit_2plus_pct_last_5,hit_3plus_pct_team_match_last_5,hit_3plus_pct_appearance_last_5,hit_3plus_pct_last_5,sot_per_90_last_5,avg_sot_home_per_appearance_last_5,avg_sot_away_per_appearance_last_5,trend_sot_per_team_match_last_5,trend_sot_per_appearance_last_5,team_matches_last_10,appearances_last_10,appearance_pct_last_10,starts_last_10,start_pct_of_appearances_last_10,minutes_last_10,sot_last_10,avg_sot_per_team_match_last_10,avg_sot_per_appearance_last_10,median_sot_per_team_match_last_10,median_sot_per_appearance_last_10,std_sot_per_team_match_last_10,std_sot_per_appearance_last_10,hit_1plus_pct_team_match_last_10,hit_1plus_pct_appearance_last_10,hit_1plus_pct_last_10,hit_2plus_pct_team_match_last_10,hit_2plus_pct_appearance_last_10,hit_2plus_pct_last_10,hit_3plus_pct_team_match_last_10,hit_3plus_pct_appearance_last_10,hit_3plus_pct_last_10,sot_per_90_last_10,avg_sot_home_per_appearance_last_10,avg_sot_away_per_appearance_last_10,trend_sot_per_team_match_last_10,trend_sot_per_appearance_last_10,team_matches_last_15,appearances_last_15,appearance_pct_last_15,starts_last_15,start_pct_of_appearances_last_15,minutes_last_15,sot_last_15,avg_sot_per_team_match_last_15,avg_sot_per_appearance_last_15,median_sot_per_team_match_last_15,median_sot_per_appearance_last_15,std_sot_per_team_match_last_15,std_sot_per_appearance_last_15,hit_1plus_pct_team_match_last_15,hit_1plus_pct_appearance_last_15,hit_1plus_pct_last_15,hit_2plus_pct_team_match_last_15,hit_2plus_pct_appearance_last_15,hit_2plus_pct_last_15,hit_3plus_pct_team_match_last_15,hit_3plus_pct_appearance_last_15,hit_3plus_pct_last_15,sot_per_90_last_15,avg_sot_home_per_appearance_last_15,avg_sot_away_per_appearance_last_15,trend_sot_per_team_match_last_15,trend_sot_per_appearance_last_15,latest_date,latest_opponent,latest_venue,coverage_status
2026-09-15,LaLiga,FC Barcelona,Álvaro Cortés,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,1,10,1,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,15,1,6.667,1,100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2026-05-13,Alavés,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Frenkie de Jong,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,3,30,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,40,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Gabriel Jesus,3,1,33.333,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,5,1,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,10,1,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,15,1,6.667,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2026-09-06,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Gavi,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,1,20,1,100,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,10,5,50,5,100,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,60,7,77.778,542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-08-23,Elche,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Hamza Abdelkarim,3,1,33.333,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,5,1,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,10,1,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,15,1,6.667,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,2026-08-31,Rayo Vallecano,home,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Joan García,3,3,100,3,100,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100,5,100,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,80,8,100,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,86.667,13,100,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Marc Casadó,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,3,30,1,33.333,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,40,1,16.667,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Pau Cubarsí,3,3,100,3,100,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,80,4,100,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,70,7,100,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,80,12,100,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Rodri,3,3,100,2,66.667,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,80,2,50,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40,2,50,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,26.667,2,50,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Tomas Marques,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,1,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,15,1,6.667,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,2026-05-13,Alavés,away,complete_l15_appearance_sot
